Tiempo,Temperatura (°C),Humedad (%),Intensidad de Luz,Voltaje (V),Estado LED
2025-04-26 14:42:49,29,45,22485,2.7,Apagado
2025-04-26 14:42:51,29,45,22645,2.74,Apagado
2025-04-26 14:42:53,29,45,22677,2.74,Apagado
2025-04-26 14:42:56,29,44,22661,2.75,Apagado
2025-04-26 14:42:58,29,44,22645,2.74,Apagado
2025-04-26 14:43:00,29,44,22917,2.76,Apagado
2025-04-26 14:43:03,29,44,21285,2.74,Apagado
2025-04-26 14:43:05,29,44,22245,2.75,Apagado
2025-04-26 14:43:07,29,44,22949,2.75,Apagado
2025-04-26 14:43:10,29,44,22501,2.74,Apagado
2025-04-26 14:43:12,29,44,22725,2.74,Apagado
2025-04-26 14:43:14,29,44,22789,2.74,Apagado
2025-04-26 14:43:17,29,44,22741,2.74,Apagado
2025-04-26 14:43:19,29,44,22757,2.75,Apagado
2025-04-26 14:43:21,29,44,22757,2.75,Apagado
